name,yahoo_symbol,exchange
Adani Total Gas Limited,ATGL.NS,NSE
Ather Energy Limited,ATHERENERG.NS,NSE
Allcargo Terminals Limited,ATL.NS,NSE
ATLANTAA LIMITED,ATLANTAA.NS,NSE
Atlanta Electricals Limited,ATLANTAELE.NS,NSE
Atlas Cycles (Haryana) Limited,ATLASCYCLE.NS,NSE
Atul Limited,ATUL.NS,NSE
Atul Auto Limited,ATULAUTO.NS,NSE
AU Small Finance Bank Limited,AUBANK.NS,NSE
Auri Grow India Limited,AURIGROW.NS,NSE
Aurionpro Solutions Limited,AURIONPRO.NS,NSE
Aurobindo Pharma Limited,AUROPHARMA.NS,NSE
Aurum PropTech Limited,AURUM.NS,NSE
Ausom Enterprise Limited,AUSOMENT.NS,NSE
Automotive Axles Limited,AUTOAXLES.NS,NSE
Autoline Industries Limited,AUTOIND.NS,NSE
Avadh Sugar & Energy Limited,AVADHSUGAR.NS,NSE
Avalon Technologies Limited,AVALON.NS,NSE
Avantel Limited,AVANTEL.NS,NSE
Avanti Feeds Limited,AVANTIFEED.NS,NSE
AVG Logistics Limited,AVG.NS,NSE
Aditya Vision Limited,AVL.NS,NSE
Avonmore Capital & Management Services Limited,AVONMORE.NS,NSE
AVRO INDIA LIMITED,AVROIND.NS,NSE
AVT Natural Products Limited,AVTNPL.NS,NSE
Awfis Space Solutions Limited,AWFIS.NS,NSE
Antony Waste Handling Cell Limited,AWHCL.NS,NSE
AWL Agri Business Limited,AWL.NS,NSE
Axis Bank Limited,AXISBANK.NS,NSE
AXISCADES Technologies Limited,AXISCADES.NS,NSE
Axita Cotton Limited,AXITA.NS,NSE
AYM Syntex Limited,AYMSYNTEX.NS,NSE
Azad Engineering Limited,AZAD.NS,NSE
Bafna Pharmaceuticals Limited,BAFNAPH.NS,NSE
B.A.G Films and Media Limited,BAGFILMS.NS,NSE
Baid Finserv Limited,BAIDFIN.NS,NSE
Bajaj Auto Limited,BAJAJ-AUTO.NS,NSE
Bajaj Consumer Care Limited,BAJAJCON.NS,NSE
Bajaj Electricals Limited,BAJAJELEC.NS,NSE
Bajaj Finserv Limited,BAJAJFINSV.NS,NSE
Bajaj Healthcare Limited,BAJAJHCARE.NS,NSE
Bajaj Housing Finance Limited,BAJAJHFL.NS,NSE
Bajaj Hindusthan Sugar Limited,BAJAJHIND.NS,NSE
Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS,NSE
Indef Manufacturing Limited,BAJAJINDEF.NS,NSE
Bajel Projects Limited,BAJEL.NS,NSE
Bajaj Finance Limited,BAJFINANCE.NS,NSE
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE.NS,NSE
Balaji Telefilms Limited,BALAJITELE.NS,NSE
Balaji Amines Limited,BALAMINES.NS,NSE
BALAXI PHARMACEUTICALS LIMITED,BALAXI.NS,NSE
Balkrishna Paper Mills Limited,BALKRISHNA.NS,NSE
Balkrishna Industries Limited,BALKRISIND.NS,NSE
Balmer Lawrie & Company Limited,BALMLAWRIE.NS,NSE
Bal Pharma Limited,BALPHARMA.NS,NSE
Balrampur Chini Mills Limited,BALRAMCHIN.NS,NSE
Balu Forge Industries Limited,BALUFORGE.NS,NSE
Banaras Beads Limited,BANARBEADS.NS,NSE
Bannari Amman Sugars Limited,BANARISUG.NS,NSE
Banco Products (I) Limited,BANCOINDIA.NS,NSE
Bandhan Bank Limited,BANDHANBNK.NS,NSE
Bang Overseas Limited,BANG.NS,NSE
Banka BioLoo Limited,BANKA.NS,NSE
Bank of Baroda,BANKBARODA.NS,NSE
Bank of India,BANKINDIA.NS,NSE
Bansal Wire Industries Limited,BANSALWIRE.NS,NSE
Banswara Syntex Limited,BANSWRAS.NS,NSE
BASF India Limited,BASF.NS,NSE
Bannari Amman Spinning Mills Limited,BASML.NS,NSE
Bata India Limited,BATAINDIA.NS,NSE
Bayer Cropscience Limited,BAYERCROP.NS,NSE
Bharat Bijlee Limited,BBL.NS,NSE
Black Box Limited,BBOX.NS,NSE
Bombay Burmah Trading Corporation Limited,BBTC.NS,NSE
